planner,loss,split,variant,logs,states_failed,states,affected,v_pos,v_neg,harm_rate,rho,all_full_reduction,oracle20_reduction,selective_extra_share,all_cheap_cost,all_full_cost,harm_rate_lo,harm_rate_hi,harm_rate_finite_draws,rho_lo,rho_hi,rho_finite_draws,all_full_reduction_lo,all_full_reduction_hi,all_full_reduction_finite_draws,oracle20_reduction_lo,oracle20_reduction_hi,oracle20_reduction_finite_draws
idm,safety,test,primary,9,0,384,4,3,1,0.25,0.04371478978331019,0.03576009832119536,0.03739480433153651,0.0437147897833106,326.3421308746392,314.6721041882137,0.0,1.0,1000,0.0,1.5166264244461471,902,-0.005737076023665678,0.12435252896680339,1000,0.0,0.12689959677313853,1000
idm,scalar_J,test,primary,9,0,384,10,9,1,0.1,0.07596235602210503,0.030542107791494074,0.03305288262934091,0.07596235602210478,391.74710064502096,379.78231847011546,0.0,0.6666666666666666,1000,0.0,4.334802647716915,978,-0.0075916416008845735,0.0965860235929104,1000,0.0007197011531620734,0.10043384956432205,1000
idm,collision,all,nofp,34,0,1440,1,1,0,0.0,0.0,0.016129032258064516,0.016129032258064516,0.0,62.0,61.0,0.0,0.0,1000,0.0,0.0,659,0.0,0.044125816993464045,1000,0.0,0.044125816993464045,1000
idm,clearance_shortfall,all,nofp,34,0,1440,2,2,0,0.0,0.0,0.011314281692233275,0.011314281692233271,-3.0664314768963444e-16,129.7063873358668,128.23885273226688,0.0,0.0,1000,0.0,0.0,877,0.0,0.02882796089484043,1000,0.0,0.02882796089484042,1000
idm,log_deviation,all,nofp,34,0,1440,16,10,6,0.375,0.12217529540970552,0.0013759617381455765,0.001567467548988309,0.12217529540967915,2811.0129015121747,2807.1450553142604,0.0,0.5294117647058824,1000,0.0,0.6748489509565755,999,4.676348267798934e-05,0.0035018078729842543,1000,6.33020554706784e-05,0.003812100020761676,1000
idm,safety,all,nofp,34,0,1440,2,2,0,0.0,0.0,0.014979017115437794,0.014979017115437934,9.380628947229377e-15,814.5595810038001,802.3582790984003,0.0,0.0,1000,0.0,0.0,877,0.0,0.03928708706135181,1000,0.0,0.03928708706135181,1000
idm,scalar_J,all,nofp,34,0,1440,16,10,6,0.375,0.004258256223775337,0.011489035390961156,0.011538167866087854,0.004258256223772351,1095.6608711550177,1083.0727846298264,0.0,0.5294117647058824,1000,0.0,0.6626162445003713,999,2.818265683894634e-05,0.030782488950880288,1000,7.813120675363571e-05,0.03086659649716775,1000
idm,collision,test,nofp,9,0,384,0,0,0,0.0,,0.0,0.0,,26.0,26.0,0.0,0.0,1000,,,0,0.0,0.0,993,0.0,0.0,993
idm,clearance_shortfall,test,nofp,9,0,384,1,1,0,0.0,0.0,0.012787648733105256,0.012787648733105242,-1.0852493759769154e-15,36.56142058309283,36.09388597949292,0.0,0.0,1000,0.0,0.0,662,0.0,0.057733565291654076,1000,0.0,0.057733565291654,1000
idm,log_deviation,test,nofp,9,0,384,3,3,0,0.0,0.0,0.0015289451242746954,0.0015289451242745907,-6.850077756177864e-14,648.1896980318656,647.1986515534547,0.0,0.0,1000,0.0,0.0,902,0.0,0.0038262319364996116,1000,0.0,0.0038262319364994798,1000
idm,safety,test,nofp,9,0,384,1,1,0,0.0,0.0,0.0022274716012486615,0.0022274716012486585,-1.3628753252152111e-15,314.8421308746392,314.14082896923935,0.0,0.0,1000,0.0,0.0,662,0.0,0.016979483718194025,1000,0.0,0.016979483718194004,1000
idm,scalar_J,test,nofp,9,0,384,3,3,0,0.0,0.0,0.0021082132244046882,0.0021082132244044883,-9.483238141758683e-14,379.66110067782586,378.8606941245848,0.0,0.0,1000,0.0,0.0,902,0.0,0.011967622422472598,1000,0.0,0.011967622422472641,1000
idm,collision,all,s1,34,0,1440,4,1,3,0.75,3.0,-0.03225806451612903,0.016129032258064516,3.0,62.0,64.0,0.0,1.0,1000,0.0,8.0,622,-0.1758145363408521,0.03948684210526315,1000,0.0,0.06454796264855685,1000
